Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.043	0.041	0.043	0.039	0.039	0.035							Read 1:350
B	0.039	0.039	0.039	0.042	0.039	0.044							Read 1:350
C	0.039	0.041	0.041	0.040	0.040	0.044							Read 1:350
D	0.045	0.047	0.046	0.044	0.041	0.045							Read 1:350
E	0.044	0.041	0.043	0.042	0.046	0.058							Read 1:350
F	0.044	0.043	0.050	0.042	0.043	0.041							Read 1:350
G	0.042	0.038	0.040	0.040	0.042	0.042							Read 1:350
H	0.032	0.032	0.032	0.041	0.040	0.041							Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.100	0.098	0.103	0.041	0.042	0.043							Read 3:350
B	0.089	0.088	0.089	0.100	0.093	0.100							Read 3:350
C	0.061	0.064	0.064	0.076	0.080	0.086							Read 3:350
D	0.049	0.051	0.051	0.049	0.047	0.050							Read 3:350
E	0.090	0.086	0.088	0.086	0.092	0.097							Read 3:350
F	0.051	0.056	0.052	0.078	0.075	0.076							Read 3:350
G	0.113	0.107	0.109	0.108	0.114	0.111							Read 3:350
H	0.035	0.035	0.035	0.145	0.129	0.106							Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
0:40:32	0.084	0.083	0.087	0.037	0.038	0.038	0.067	0.066	0.066	0.078	0.073	0.079	0.038	0.040	0.040	0.051	0.051	0.058	0.041	0.043	0.043	0.041	0.039	0.044	0.041	0.041	0.043	0.052	0.056	0.063	0.043	0.042	0.045	0.040	0.040	0.039	0.080	0.074	0.077	0.079	0.083	0.081	0.032	0.032	0.032	0.222	0.178	0.144
0:40:48	0.085	0.083	0.087	0.037	0.038	0.037	0.067	0.066	0.066	0.078	0.073	0.079	0.038	0.040	0.040	0.051	0.052	0.058	0.041	0.043	0.043	0.041	0.039	0.044	0.041	0.041	0.043	0.052	0.057	0.063	0.043	0.042	0.045	0.040	0.040	0.039	0.080	0.074	0.077	0.079	0.083	0.081	0.032	0.032	0.032	0.223	0.177	0.145
0:41:04	0.085	0.083	0.087	0.037	0.038	0.038	0.067	0.066	0.067	0.078	0.073	0.079	0.038	0.040	0.040	0.052	0.052	0.058	0.041	0.043	0.044	0.041	0.039	0.044	0.041	0.041	0.043	0.053	0.057	0.063	0.043	0.042	0.045	0.040	0.040	0.039	0.080	0.074	0.077	0.079	0.083	0.082	0.032	0.032	0.032	0.223	0.176	0.144
0:41:20	0.085	0.083	0.088	0.037	0.038	0.038	0.067	0.066	0.067	0.079	0.073	0.079	0.038	0.040	0.040	0.052	0.052	0.058	0.041	0.043	0.043	0.041	0.040	0.044	0.041	0.042	0.043	0.053	0.057	0.064	0.043	0.042	0.045	0.041	0.040	0.039	0.080	0.075	0.078	0.079	0.084	0.082	0.032	0.032	0.032	0.223	0.180	0.145
0:41:36	0.085	0.084	0.088	0.037	0.038	0.037	0.067	0.066	0.067	0.079	0.074	0.079	0.038	0.040	0.040	0.052	0.052	0.058	0.041	0.043	0.043	0.041	0.039	0.044	0.041	0.042	0.043	0.053	0.057	0.064	0.043	0.042	0.045	0.040	0.040	0.039	0.080	0.075	0.078	0.079	0.084	0.082	0.032	0.032	0.032	0.223	0.177	0.145
0:41:52	0.085	0.083	0.088	0.037	0.038	0.038	0.067	0.067	0.067	0.079	0.074	0.080	0.038	0.040	0.040	0.052	0.052	0.059	0.041	0.043	0.043	0.041	0.039	0.044	0.041	0.042	0.043	0.053	0.058	0.064	0.043	0.042	0.045	0.040	0.040	0.039	0.080	0.075	0.078	0.079	0.084	0.082	0.032	0.032	0.031	0.222	0.176	0.144
0:42:08	0.085	0.084	0.088	0.037	0.038	0.038	0.067	0.067	0.067	0.079	0.074	0.080	0.038	0.040	0.040	0.052	0.053	0.059	0.041	0.043	0.043	0.041	0.039	0.044	0.042	0.043	0.044	0.054	0.058	0.065	0.043	0.042	0.045	0.041	0.040	0.039	0.081	0.075	0.078	0.079	0.084	0.082	0.032	0.032	0.032	0.223	0.179	0.143
0:42:24	0.086	0.084	0.088	0.037	0.038	0.038	0.068	0.067	0.067	0.079	0.074	0.080	0.038	0.040	0.040	0.053	0.053	0.059	0.042	0.043	0.043	0.041	0.040	0.044	0.042	0.043	0.044	0.054	0.058	0.065	0.043	0.042	0.045	0.041	0.040	0.039	0.081	0.075	0.078	0.079	0.084	0.082	0.032	0.032	0.032	0.222	0.178	0.144
0:42:40	0.086	0.084	0.089	0.037	0.038	0.038	0.068	0.067	0.068	0.079	0.074	0.080	0.038	0.040	0.040	0.053	0.053	0.059	0.042	0.043	0.043	0.041	0.039	0.044	0.042	0.043	0.044	0.054	0.059	0.065	0.043	0.042	0.045	0.041	0.040	0.039	0.081	0.075	0.078	0.080	0.084	0.082	0.032	0.032	0.032	0.222	0.177	0.144
0:42:56	0.086	0.084	0.089	0.037	0.038	0.037	0.068	0.067	0.068	0.080	0.074	0.080	0.038	0.040	0.040	0.053	0.053	0.059	0.041	0.043	0.043	0.041	0.040	0.043	0.042	0.044	0.045	0.054	0.059	0.065	0.043	0.042	0.045	0.041	0.040	0.040	0.081	0.075	0.078	0.080	0.084	0.083	0.032	0.032	0.032	0.224	0.178	0.145
0:43:12	0.086	0.084	0.088	0.037	0.038	0.038	0.068	0.067	0.068	0.080	0.074	0.080	0.038	0.040	0.040	0.053	0.053	0.060	0.041	0.043	0.044	0.041	0.039	0.044	0.043	0.044	0.045	0.055	0.059	0.065	0.043	0.042	0.045	0.041	0.040	0.039	0.081	0.076	0.078	0.080	0.085	0.083	0.032	0.032	0.032	0.223	0.178	0.145
0:43:28	0.086	0.084	0.088	0.037	0.038	0.038	0.068	0.068	0.068	0.080	0.075	0.081	0.039	0.040	0.040	0.053	0.053	0.060	0.041	0.043	0.044	0.041	0.039	0.044	0.043	0.044	0.045	0.055	0.059	0.065	0.043	0.042	0.045	0.041	0.041	0.040	0.082	0.076	0.079	0.080	0.085	0.083	0.032	0.032	0.032	0.223	0.178	0.144
0:43:44	0.086	0.084	0.089	0.037	0.038	0.038	0.068	0.067	0.068	0.080	0.075	0.081	0.038	0.040	0.040	0.053	0.054	0.060	0.041	0.043	0.044	0.041	0.039	0.044	0.043	0.045	0.046	0.055	0.059	0.066	0.043	0.042	0.045	0.041	0.041	0.040	0.082	0.076	0.079	0.080	0.085	0.083	0.032	0.032	0.032	0.223	0.175	0.148
0:44:00	0.087	0.085	0.089	0.037	0.038	0.038	0.069	0.068	0.068	0.080	0.075	0.081	0.038	0.040	0.040	0.054	0.054	0.060	0.041	0.043	0.043	0.041	0.040	0.044	0.043	0.045	0.046	0.055	0.059	0.066	0.043	0.042	0.045	0.041	0.040	0.040	0.082	0.076	0.079	0.080	0.085	0.083	0.032	0.032	0.031	0.220	0.177	0.145
0:44:16	0.086	0.085	0.089	0.037	0.038	0.038	0.069	0.068	0.068	0.080	0.075	0.081	0.038	0.040	0.040	0.054	0.054	0.061	0.041	0.043	0.044	0.041	0.040	0.044	0.044	0.046	0.047	0.056	0.060	0.066	0.043	0.042	0.045	0.041	0.041	0.040	0.082	0.076	0.079	0.080	0.085	0.083	0.032	0.032	0.032	0.221	0.178	0.144
0:44:32	0.087	0.085	0.089	0.037	0.038	0.037	0.069	0.068	0.068	0.080	0.075	0.081	0.038	0.040	0.040	0.054	0.054	0.060	0.041	0.043	0.044	0.041	0.039	0.044	0.044	0.046	0.047	0.056	0.060	0.066	0.043	0.042	0.045	0.041	0.040	0.040	0.082	0.077	0.079	0.081	0.085	0.084	0.032	0.032	0.031	0.220	0.180	0.145
0:44:48	0.087	0.085	0.089	0.037	0.038	0.038	0.069	0.068	0.069	0.081	0.075	0.081	0.038	0.040	0.040	0.054	0.055	0.061	0.041	0.043	0.044	0.041	0.040	0.044	0.045	0.047	0.047	0.056	0.060	0.066	0.043	0.042	0.045	0.041	0.041	0.040	0.083	0.076	0.079	0.081	0.086	0.084	0.032	0.032	0.032	0.221	0.176	0.144
0:45:04	0.087	0.085	0.089	0.037	0.038	0.037	0.069	0.068	0.069	0.081	0.075	0.082	0.038	0.040	0.040	0.054	0.055	0.061	0.041	0.043	0.043	0.041	0.039	0.044	0.045	0.047	0.048	0.056	0.060	0.067	0.043	0.042	0.045	0.041	0.040	0.040	0.083	0.077	0.079	0.081	0.085	0.084	0.032	0.032	0.032	0.220	0.178	0.144
0:45:20	0.087	0.085	0.089	0.037	0.038	0.038	0.069	0.068	0.069	0.081	0.075	0.082	0.038	0.040	0.040	0.054	0.055	0.061	0.041	0.043	0.043	0.041	0.040	0.044	0.046	0.047	0.048	0.056	0.061	0.067	0.043	0.042	0.045	0.041	0.041	0.040	0.083	0.077	0.079	0.081	0.086	0.084	0.032	0.032	0.031	0.222	0.178	0.145
0:45:36	0.087	0.085	0.090	0.037	0.038	0.038	0.069	0.069	0.069	0.081	0.076	0.082	0.039	0.040	0.040	0.055	0.055	0.061	0.042	0.043	0.044	0.041	0.040	0.044	0.046	0.048	0.049	0.057	0.061	0.067	0.043	0.042	0.045	0.041	0.041	0.040	0.083	0.077	0.080	0.081	0.086	0.084	0.032	0.032	0.032	0.220	0.177	0.143
0:45:52	0.087	0.085	0.089	0.037	0.038	0.038	0.069	0.069	0.069	0.081	0.076	0.082	0.039	0.040	0.040	0.055	0.055	0.061	0.041	0.043	0.043	0.041	0.040	0.044	0.047	0.048	0.049	0.057	0.061	0.067	0.043	0.042	0.045	0.041	0.041	0.040	0.083	0.077	0.080	0.081	0.086	0.084	0.032	0.032	0.032	0.224	0.174	0.146
0:46:08	0.087	0.085	0.089	0.037	0.038	0.038	0.069	0.069	0.069	0.081	0.076	0.082	0.038	0.040	0.040	0.055	0.055	0.061	0.041	0.043	0.043	0.041	0.039	0.044	0.047	0.048	0.049	0.057	0.061	0.067	0.043	0.042	0.045	0.042	0.041	0.040	0.083	0.077	0.080	0.081	0.086	0.084	0.032	0.032	0.031	0.221	0.177	0.144
0:46:24	0.088	0.086	0.090	0.037	0.038	0.038	0.070	0.069	0.070	0.082	0.076	0.082	0.039	0.040	0.040	0.055	0.056	0.062	0.042	0.043	0.044	0.042	0.040	0.044	0.048	0.049	0.050	0.057	0.062	0.068	0.043	0.042	0.045	0.042	0.041	0.040	0.084	0.078	0.080	0.082	0.086	0.085	0.032	0.032	0.031	0.222	0.177	0.146
0:46:40	0.088	0.086	0.090	0.037	0.038	0.038	0.070	0.069	0.070	0.081	0.076	0.082	0.039	0.040	0.040	0.055	0.056	0.062	0.042	0.043	0.044	0.041	0.040	0.044	0.048	0.050	0.051	0.057	0.062	0.068	0.043	0.042	0.045	0.042	0.041	0.040	0.084	0.078	0.081	0.082	0.087	0.085	0.032	0.032	0.031	0.222	0.178	0.143
0:46:56	0.088	0.086	0.090	0.037	0.038	0.038	0.070	0.069	0.070	0.081	0.076	0.082	0.039	0.040	0.040	0.055	0.056	0.062	0.042	0.043	0.043	0.041	0.039	0.044	0.049	0.050	0.051	0.057	0.062	0.068	0.043	0.042	0.045	0.042	0.041	0.040	0.084	0.078	0.080	0.082	0.087	0.085	0.032	0.032	0.031	0.220	0.179	0.144
0:47:12	0.088	0.086	0.091	0.037	0.038	0.038	0.070	0.069	0.070	0.082	0.076	0.083	0.039	0.040	0.040	0.055	0.056	0.062	0.042	0.043	0.044	0.042	0.040	0.044	0.049	0.050	0.051	0.058	0.062	0.068	0.043	0.042	0.045	0.042	0.041	0.040	0.084	0.078	0.081	0.082	0.087	0.085	0.032	0.032	0.032	0.221	0.178	0.144
0:47:28	0.088	0.086	0.091	0.037	0.038	0.038	0.070	0.070	0.070	0.082	0.077	0.083	0.039	0.040	0.040	0.056	0.056	0.062	0.042	0.043	0.044	0.042	0.040	0.044	0.050	0.051	0.052	0.058	0.062	0.068	0.043	0.042	0.045	0.042	0.042	0.041	0.084	0.078	0.081	0.082	0.087	0.085	0.032	0.032	0.032	0.220	0.177	0.145
0:47:44	0.088	0.086	0.090	0.037	0.038	0.038	0.070	0.070	0.070	0.082	0.077	0.083	0.039	0.040	0.040	0.056	0.056	0.063	0.042	0.043	0.044	0.041	0.040	0.044	0.050	0.051	0.052	0.058	0.063	0.069	0.043	0.042	0.045	0.042	0.042	0.041	0.084	0.078	0.081	0.082	0.087	0.085	0.032	0.032	0.032	0.220	0.176	0.145
0:48:00	0.088	0.086	0.091	0.037	0.038	0.038	0.071	0.070	0.070	0.082	0.077	0.083	0.039	0.040	0.040	0.056	0.057	0.063	0.042	0.043	0.044	0.042	0.040	0.044	0.050	0.052	0.052	0.058	0.063	0.069	0.043	0.042	0.045	0.043	0.042	0.041	0.085	0.078	0.081	0.083	0.087	0.086	0.032	0.032	0.032	0.220	0.178	0.144
0:48:16	0.088	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.082	0.077	0.083	0.039	0.040	0.040	0.056	0.057	0.063	0.042	0.043	0.044	0.041	0.040	0.044	0.051	0.052	0.053	0.058	0.063	0.069	0.043	0.042	0.045	0.043	0.042	0.041	0.085	0.079	0.081	0.083	0.088	0.086	0.032	0.032	0.032	0.221	0.178	0.145
0:48:32	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.082	0.077	0.083	0.039	0.041	0.040	0.056	0.057	0.063	0.042	0.043	0.044	0.042	0.040	0.044	0.051	0.052	0.053	0.059	0.063	0.069	0.043	0.042	0.045	0.043	0.042	0.041	0.085	0.079	0.081	0.083	0.088	0.086	0.032	0.032	0.032	0.220	0.177	0.144
0:48:48	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.070	0.082	0.077	0.083	0.039	0.040	0.040	0.056	0.057	0.063	0.042	0.043	0.044	0.041	0.040	0.044	0.052	0.053	0.053	0.059	0.063	0.069	0.043	0.042	0.045	0.043	0.042	0.041	0.085	0.079	0.081	0.083	0.088	0.086	0.032	0.032	0.032	0.222	0.173	0.147
0:49:04	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.083	0.077	0.084	0.039	0.041	0.040	0.057	0.057	0.063	0.042	0.043	0.044	0.042	0.040	0.044	0.052	0.053	0.054	0.059	0.064	0.069	0.043	0.042	0.045	0.043	0.043	0.041	0.085	0.079	0.082	0.083	0.088	0.086	0.032	0.032	0.032	0.224	0.175	0.146
0:49:20	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.083	0.077	0.084	0.039	0.041	0.040	0.056	0.057	0.063	0.042	0.043	0.043	0.041	0.040	0.044	0.052	0.053	0.054	0.059	0.064	0.070	0.043	0.042	0.045	0.043	0.042	0.041	0.086	0.079	0.082	0.083	0.088	0.086	0.032	0.032	0.031	0.221	0.174	0.145
0:49:36	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.083	0.077	0.084	0.039	0.041	0.040	0.057	0.057	0.064	0.042	0.043	0.044	0.041	0.040	0.044	0.053	0.054	0.055	0.059	0.064	0.070	0.043	0.042	0.045	0.043	0.043	0.042	0.086	0.080	0.082	0.083	0.088	0.086	0.032	0.032	0.032	0.220	0.178	0.145
0:49:52	0.089	0.087	0.091	0.037	0.038	0.038	0.071	0.070	0.071	0.083	0.078	0.084	0.039	0.041	0.040	0.057	0.058	0.063	0.042	0.043	0.044	0.041	0.040	0.044	0.053	0.054	0.055	0.059	0.064	0.070	0.043	0.042	0.045	0.044	0.043	0.042	0.086	0.080	0.082	0.084	0.088	0.086	0.032	0.032	0.032	0.222	0.177	0.147
0:50:08	0.089	0.087	0.091	0.037	0.038	0.038	0.072	0.071	0.071	0.083	0.078	0.084	0.039	0.041	0.041	0.057	0.058	0.064	0.042	0.043	0.044	0.041	0.040	0.044	0.054	0.054	0.055	0.060	0.064	0.070	0.043	0.042	0.045	0.044	0.043	0.042	0.086	0.080	0.082	0.084	0.088	0.086	0.032	0.032	0.031	0.222	0.174	0.147
0:50:24	0.089	0.087	0.092	0.037	0.038	0.038	0.072	0.071	0.072	0.083	0.078	0.084	0.040	0.041	0.041	0.057	0.058	0.064	0.042	0.044	0.044	0.041	0.040	0.044	0.054	0.055	0.056	0.060	0.064	0.070	0.043	0.042	0.045	0.044	0.043	0.042	0.086	0.080	0.082	0.084	0.089	0.087	0.032	0.032	0.032	0.221	0.175	0.146
0:50:40	0.090	0.087	0.092	0.037	0.038	0.038	0.072	0.071	0.072	0.083	0.078	0.084	0.040	0.041	0.041	0.057	0.058	0.064	0.042	0.044	0.044	0.042	0.040	0.044	0.054	0.055	0.056	0.060	0.064	0.070	0.043	0.042	0.045	0.044	0.043	0.042	0.086	0.080	0.083	0.084	0.089	0.087	0.032	0.032	0.032	0.220	0.175	0.146
0:50:56	0.089	0.087	0.092	0.037	0.038	0.038	0.072	0.071	0.072	0.084	0.078	0.084	0.040	0.041	0.041	0.057	0.058	0.064	0.042	0.044	0.044	0.041	0.040	0.044	0.055	0.055	0.056	0.060	0.065	0.070	0.043	0.042	0.045	0.044	0.043	0.042	0.086	0.080	0.082	0.084	0.089	0.087	0.032	0.032	0.032	0.219	0.178	0.144
0:51:12	0.090	0.088	0.092	0.037	0.038	0.038	0.072	0.071	0.072	0.084	0.078	0.084	0.040	0.041	0.041	0.057	0.058	0.064	0.042	0.044	0.044	0.042	0.040	0.044	0.055	0.056	0.056	0.060	0.065	0.071	0.043	0.042	0.045	0.045	0.044	0.043	0.086	0.080	0.083	0.084	0.089	0.087	0.032	0.032	0.031	0.218	0.176	0.144
0:51:28	0.090	0.088	0.092	0.037	0.039	0.038	0.072	0.071	0.072	0.084	0.078	0.085	0.040	0.042	0.041	0.058	0.058	0.065	0.042	0.044	0.044	0.042	0.040	0.044	0.056	0.056	0.057	0.060	0.065	0.071	0.043	0.043	0.045	0.045	0.044	0.043	0.086	0.080	0.083	0.084	0.089	0.087	0.032	0.032	0.032	0.220	0.175	0.147
0:51:44	0.090	0.088	0.093	0.038	0.039	0.038	0.072	0.072	0.072	0.084	0.079	0.085	0.040	0.042	0.041	0.058	0.058	0.065	0.042	0.044	0.044	0.042	0.040	0.044	0.056	0.056	0.057	0.061	0.065	0.071	0.043	0.042	0.046	0.045	0.044	0.043	0.087	0.080	0.083	0.085	0.090	0.087	0.032	0.032	0.032	0.218	0.176	0.147
0:52:00	0.090	0.088	0.093	0.037	0.038	0.038	0.072	0.072	0.072	0.084	0.079	0.085	0.040	0.042	0.041	0.058	0.059	0.065	0.042	0.043	0.044	0.041	0.040	0.044	0.056	0.056	0.057	0.061	0.066	0.071	0.043	0.042	0.045	0.045	0.044	0.043	0.087	0.080	0.083	0.084	0.089	0.088	0.032	0.032	0.031	0.215	0.178	0.144
0:52:16	0.090	0.088	0.092	0.037	0.038	0.038	0.073	0.072	0.072	0.084	0.079	0.085	0.040	0.042	0.042	0.058	0.059	0.065	0.042	0.044	0.044	0.041	0.040	0.044	0.057	0.056	0.057	0.061	0.066	0.071	0.043	0.042	0.045	0.045	0.044	0.043	0.087	0.080	0.083	0.085	0.090	0.087	0.032	0.032	0.032	0.216	0.177	0.144
0:52:32	0.090	0.088	0.093	0.037	0.038	0.038	0.073	0.072	0.072	0.084	0.079	0.085	0.041	0.042	0.042	0.058	0.059	0.065	0.042	0.044	0.044	0.042	0.040	0.044	0.057	0.057	0.058	0.061	0.066	0.072	0.043	0.043	0.045	0.046	0.044	0.043	0.087	0.081	0.083	0.085	0.090	0.088	0.032	0.032	0.031	0.216	0.176	0.144
0:52:48	0.091	0.089	0.093	0.038	0.039	0.038	0.073	0.072	0.073	0.084	0.079	0.085	0.041	0.042	0.042	0.058	0.059	0.065	0.042	0.044	0.044	0.042	0.040	0.044	0.057	0.057	0.058	0.061	0.066	0.071	0.043	0.043	0.045	0.046	0.045	0.044	0.087	0.081	0.083	0.085	0.090	0.088	0.032	0.032	0.032	0.214	0.177	0.145
0:53:04	0.090	0.088	0.093	0.037	0.038	0.038	0.073	0.072	0.073	0.084	0.079	0.085	0.041	0.042	0.042	0.058	0.059	0.065	0.042	0.043	0.044	0.042	0.040	0.044	0.057	0.057	0.058	0.061	0.066	0.071	0.043	0.042	0.045	0.046	0.045	0.044	0.087	0.081	0.084	0.085	0.090	0.088	0.032	0.032	0.031	0.212	0.177	0.143
0:53:20	0.091	0.088	0.093	0.037	0.038	0.038	0.073	0.072	0.073	0.084	0.079	0.085	0.041	0.042	0.042	0.058	0.059	0.065	0.042	0.043	0.044	0.042	0.040	0.044	0.058	0.057	0.058	0.061	0.066	0.072	0.043	0.043	0.045	0.046	0.045	0.044	0.087	0.081	0.083	0.085	0.090	0.088	0.032	0.032	0.032	0.211	0.179	0.144
0:53:36	0.091	0.089	0.093	0.038	0.039	0.038	0.073	0.072	0.073	0.085	0.079	0.086	0.041	0.043	0.042	0.058	0.059	0.065	0.042	0.043	0.044	0.042	0.040	0.044	0.058	0.058	0.059	0.061	0.066	0.072	0.043	0.042	0.045	0.047	0.045	0.044	0.087	0.081	0.084	0.086	0.090	0.088	0.032	0.032	0.032	0.210	0.178	0.145
0:53:52	0.091	0.089	0.093	0.037	0.039	0.038	0.073	0.072	0.073	0.085	0.079	0.086	0.041	0.043	0.042	0.059	0.060	0.066	0.042	0.044	0.044	0.042	0.040	0.044	0.059	0.058	0.059	0.062	0.067	0.072	0.043	0.043	0.045	0.047	0.046	0.044	0.088	0.082	0.084	0.086	0.091	0.088	0.032	0.032	0.032	0.211	0.176	0.146
0:54:08	0.091	0.089	0.093	0.037	0.038	0.038	0.073	0.072	0.073	0.085	0.079	0.086	0.041	0.043	0.042	0.058	0.060	0.065	0.042	0.043	0.044	0.041	0.040	0.044	0.059	0.058	0.059	0.062	0.067	0.072	0.043	0.042	0.045	0.047	0.046	0.044	0.088	0.082	0.084	0.085	0.090	0.088	0.032	0.032	0.031	0.211	0.175	0.145
0:54:24	0.091	0.089	0.093	0.038	0.039	0.038	0.073	0.073	0.073	0.085	0.080	0.086	0.042	0.043	0.043	0.059	0.060	0.066	0.042	0.044	0.044	0.042	0.040	0.044	0.059	0.058	0.059	0.062	0.067	0.072	0.043	0.043	0.045	0.047	0.046	0.045	0.088	0.082	0.084	0.086	0.091	0.089	0.032	0.032	0.032	0.211	0.176	0.145
0:54:40	0.091	0.089	0.093	0.038	0.039	0.038	0.074	0.073	0.073	0.085	0.080	0.086	0.042	0.043	0.043	0.059	0.060	0.066	0.042	0.043	0.044	0.042	0.040	0.044	0.059	0.059	0.059	0.062	0.067	0.073	0.043	0.043	0.045	0.047	0.046	0.045	0.088	0.082	0.084	0.086	0.091	0.088	0.032	0.032	0.032	0.210	0.176	0.144
0:54:56	0.091	0.089	0.094	0.038	0.039	0.038	0.074	0.073	0.073	0.085	0.080	0.086	0.042	0.044	0.043	0.059	0.060	0.066	0.042	0.044	0.044	0.042	0.040	0.044	0.059	0.059	0.060	0.062	0.067	0.073	0.043	0.043	0.045	0.048	0.046	0.045	0.088	0.082	0.084	0.086	0.091	0.089	0.032	0.032	0.032	0.209	0.177	0.145
0:55:12	0.091	0.089	0.094	0.037	0.039	0.038	0.074	0.073	0.074	0.085	0.080	0.086	0.042	0.044	0.043	0.059	0.060	0.066	0.042	0.044	0.044	0.042	0.040	0.044	0.060	0.059	0.060	0.062	0.067	0.073	0.043	0.043	0.045	0.048	0.047	0.045	0.089	0.082	0.084	0.086	0.091	0.089	0.032	0.032	0.032	0.207	0.178	0.144
0:55:28	0.092	0.090	0.094	0.038	0.039	0.038	0.074	0.073	0.074	0.085	0.080	0.086	0.042	0.044	0.043	0.059	0.060	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.060	0.059	0.060	0.062	0.068	0.073	0.043	0.043	0.045	0.048	0.047	0.046	0.089	0.082	0.085	0.086	0.091	0.089	0.032	0.032	0.032	0.211	0.174	0.147
0:55:44	0.092	0.090	0.094	0.038	0.039	0.038	0.074	0.073	0.074	0.086	0.080	0.086	0.043	0.044	0.043	0.059	0.060	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.060	0.059	0.060	0.063	0.068	0.073	0.043	0.043	0.045	0.048	0.047	0.046	0.089	0.082	0.085	0.086	0.092	0.089	0.032	0.032	0.032	0.208	0.179	0.143
0:56:00	0.092	0.090	0.094	0.037	0.039	0.038	0.074	0.073	0.074	0.085	0.080	0.086	0.043	0.044	0.043	0.059	0.060	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.060	0.059	0.061	0.063	0.068	0.074	0.043	0.043	0.045	0.048	0.047	0.046	0.089	0.082	0.085	0.086	0.091	0.089	0.032	0.032	0.031	0.207	0.177	0.144
0:56:16	0.092	0.090	0.094	0.037	0.039	0.038	0.074	0.073	0.074	0.086	0.080	0.087	0.043	0.045	0.044	0.060	0.060	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.061	0.060	0.061	0.063	0.068	0.074	0.043	0.043	0.045	0.049	0.048	0.046	0.089	0.083	0.085	0.087	0.092	0.089	0.032	0.032	0.031	0.208	0.176	0.145
0:56:32	0.092	0.090	0.094	0.038	0.039	0.038	0.074	0.073	0.074	0.086	0.080	0.087	0.043	0.045	0.044	0.059	0.061	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.061	0.060	0.061	0.063	0.068	0.074	0.043	0.043	0.045	0.049	0.048	0.047	0.089	0.083	0.085	0.086	0.092	0.089	0.032	0.032	0.032	0.209	0.174	0.147
0:56:48	0.092	0.090	0.094	0.037	0.038	0.038	0.075	0.074	0.074	0.086	0.081	0.087	0.043	0.045	0.044	0.060	0.060	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.061	0.060	0.061	0.063	0.068	0.073	0.043	0.043	0.045	0.049	0.048	0.047	0.089	0.083	0.085	0.086	0.092	0.089	0.032	0.032	0.032	0.206	0.176	0.144
0:57:04	0.092	0.090	0.094	0.037	0.039	0.038	0.075	0.074	0.074	0.086	0.080	0.087	0.043	0.045	0.044	0.060	0.061	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.061	0.060	0.061	0.063	0.068	0.074	0.043	0.043	0.045	0.049	0.048	0.047	0.089	0.083	0.085	0.087	0.092	0.090	0.032	0.032	0.032	0.204	0.179	0.144
0:57:20	0.092	0.090	0.094	0.038	0.039	0.038	0.075	0.074	0.075	0.086	0.081	0.087	0.044	0.045	0.045	0.060	0.061	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.062	0.060	0.062	0.064	0.068	0.074	0.043	0.043	0.045	0.049	0.048	0.047	0.090	0.083	0.085	0.087	0.092	0.090	0.032	0.032	0.032	0.206	0.176	0.144
0:57:36	0.093	0.090	0.094	0.038	0.039	0.038	0.075	0.074	0.074	0.086	0.081	0.087	0.044	0.046	0.045	0.060	0.061	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.062	0.061	0.062	0.064	0.069	0.074	0.043	0.043	0.045	0.049	0.049	0.047	0.089	0.083	0.086	0.087	0.092	0.090	0.032	0.032	0.032	0.208	0.173	0.147
0:57:52	0.093	0.090	0.094	0.038	0.038	0.038	0.075	0.074	0.074	0.086	0.081	0.087	0.044	0.046	0.045	0.060	0.061	0.067	0.042	0.044	0.044	0.042	0.040	0.044	0.062	0.061	0.062	0.064	0.069	0.074	0.043	0.043	0.045	0.050	0.048	0.048	0.090	0.083	0.085	0.087	0.092	0.090	0.032	0.032	0.031	0.206	0.175	0.145
